timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1519294752320316,-12,-11,-12,-9,-17,-9,-8,-9
1519294752327377,12,13,16,15,11,13,9,10
1519294752327377,-13,-13,-14,-6,-16,-11,-6,-8
1519294752335653,4,2,-2,10,3,-3,0,0
1519294752335653,8,8,9,-3,22,8,4,4
1519294752342656,-8,-10,-4,-10,-16,-14,-11,-9
1519294752342656,7,10,5,-4,-3,10,6,5
1519294752357703,-6,-3,-4,3,-11,-8,-3,-2
1519294752357703,7,4,3,12,-2,16,8,6
1519294752372548,-5,-4,-3,-7,18,0,-3,-3
1519294752372548,-12,-11,-11,-4,-5,-10,-6,-8
1519294752387891,14,14,16,9,7,9,8,8
1519294752387891,-11,-10,-14,3,-5,-11,-6,-6
1519294752394606,-4,-7,-3,5,-11,-4,-2,-5
1519294752394606,7,9,6,-2,4,8,7,6
1519294752402773,-9,-12,-9,3,-11,-11,-6,-8
1519294752402773,8,11,5,15,16,9,5,4
1519294752409900,-2,-1,1,-37,-17,-7,-2,-1
1519294752409900,6,4,5,15,9,6,3,5
1519294752425393,14,16,13,21,1,9,10,13
1519294752425393,-12,-14,-11,-5,2,-6,-8,-11
1519294752440410,-5,-6,-4,-11,-5,-3,-4,-5
1519294752440410,8,9,5,6,32,2,5,5
1519294752448373,-10,-12,-10,-12,-18,-10,-8,-9
1519294752448373,7,8,7,-4,1,5,5,4
1519294752455143,0,3,-1,4,-1,3,1,-1
1519294752455143,1,-2,4,6,-15,-7,-2,0
1519294752463364,-1,2,-1,11,4,-2,0,-1
1519294752463364,-12,-12,-24,-5,-4,-10,-9,-8
1519294752477199,14,14,11,-25,11,13,11,9
1519294752477199,-12,-9,4,-11,-7,-4,-9,-9
1519294752485700,-7,-8,-7,-5,-11,-8,-6,-4
1519294752485700,7,9,7,25,8,8,8,6
1519294752507917,-9,-11,-14,-1,-7,-7,-6,-6
1519294752507917,3,2,-3,-8,-7,0,2,3
1519294752514936,0,0,1,4,-8,6,3,0
1519294752514936,-4,-6,-1,-1,-5,-4,-4,-5
1519294752523279,2,2,1,4,8,1,1,2
1519294752523279,-9,-9,-7,-11,-9,-9,-8,-6
1519294752530292,14,14,12,6,13,8,5,8
1519294752530292,-9,-9,-6,16,-3,-4,-5,-7
1519294752545061,-10,-8,-6,-14,-6,-7,-8,-7
1519294752545061,6,6,7,3,7,4,3,4
1519294752560052,1,4,2,11,7,9,2,1
1519294752560052,-5,-9,-8,1,-16,-10,-6,-6
1519294752568321,3,2,-2,3,13,4,2,2
1519294752568321,-7,-8,-4,-15,-8,-8,-4,-5
1519294752575102,11,8,9,21,19,10,7,7
1519294752575102,-10,-9,-10,-14,-5,-8,-8,-7
1519294752583151,-13,-14,-11,-7,-7,-2,-8,-10
1519294752583151,11,15,13,2,6,9,7,8
1519294752598307,-13,-14,-12,19,-7,-11,-9,-8
1519294752598307,4,5,5,-16,7,10,5,4
1519294752605263,6,8,2,8,-15,-6,4,3
1519294752605263,-4,-8,2,-13,6,-10,-7,-4
1519294752627231,4,4,7,24,1,6,5,2
1519294752627231,-5,-6,-6,-15,-7,-5,-4,-5
1519294752635328,7,6,2,5,19,18,8,6
1519294752635328,-13,-9,-7,-9,-26,-11,-7,-9
1519294752642751,-9,-10,-17,-20,-6,-8,-8,-7
1519294752642751,12,14,16,36,14,11,7,8
1519294752649881,-10,-12,-8,-7,-17,-10,-9,-6
1519294752649881,0,0,-5,-12,-6,-1,-3,-2
1519294752664981,6,8,4,0,12,2,4,4
1519294752664981,-8,-14,-8,-16,-11,-9,-8,-9
1519294752680283,9,7,9,10,-1,5,3,6
1519294752680283,-4,-2,-11,-29,0,-1,1,-1
1519294752688252,-11,-11,5,-10,-9,-10,-7,-9
1519294752688252,13,11,9,6,11,14,10,11
1519294752695312,-10,-10,-11,-14,-8,-13,-10,-10
1519294752695312,-4,-7,-2,9,-1,-4,-3,-5
1519294752703280,6,10,9,4,-2,1,4,5
1519294752703280,-12,-14,-18,-24,-2,-8,-6,-9
1519294752717748,8,11,10,17,14,3,8,8
1519294752717748,-2,-1,-1,-8,1,0,0,0
1519294752725727,3,1,6,-7,-12,-1,1,1
1519294752725727,-2,1,3,4,7,-2,-2,-1
1519294752740498,-11,-13,-13,-16,-7,-8,-9,-9
1519294752740498,15,16,15,24,11,12,8,11
1519294752747516,-11,-14,-24,-26,-1,-10,-8,-9
1519294752747516,-3,-6,9,-26,-11,-5,-5,-4
1519294752754532,8,8,6,3,-6,2,4,4
1519294752754532,-10,-14,-16,-7,-11,-8,-7,-7
1519294752762552,4,7,5,13,7,2,2,2
1519294752762552,0,4,-5,7,1,1,1,0
1519294752777594,-3,-7,5,-5,-7,-2,-2,-3
1519294752777594,-2,3,-1,19,-10,-2,1,0
1519294752785758,-9,-7,-9,-5,-13,-9,-8,-6
1519294752785758,15,15,7,-2,6,13,10,12
1519294752807676,-10,-11,-11,-9,5,-2,-6,-6
1519294752807676,-7,-7,-3,-3,-2,-10,-5,-4
1519294752815807,11,11,6,11,9,16,10,6
1519294752815807,-9,-12,-9,3,-5,-13,-9,-9
1519294752823370,4,6,1,-8,1,4,2,3
1519294752823370,2,2,5,11,1,3,2,3
1519294752830379,-5,-6,5,-27,-1,-4,-4,-4
1519294752830379,4,4,-3,7,3,5,2,3
